wall,utime,stime,maxrss,benchmark,mode
1.232409,0.011603,0.005801,25804.0,fb4,docker
1.25023,1.001359,0.242392,3204.0,fb7,docker-inner
16.322551,15.958239,0.328046,12088.0,fb9,qemu
1.017495,0.844705,0.167347,3352.0,fb6,native
1.839291,0.0082,0.0082,24892.0,fl5,docker
2.331489,0.011666,0.005833,25524.0,fb10,docker
7.293146,7.13459,0.14005,12244.0,fb4,qemu
1.611296,1.296712,0.306278,3072.0,fb9,docker-inner
1.725614,1.465603,0.250905,3428.0,fb10,native
0.538932,0.452604,0.083374,3112.0,fb3,docker-inner
0.767462,0.014255,0.002851,25752.0,fl1,docker
1.523238,0.005534,0.011069,25048.0,fl4,docker
4.308127,3.696042,0.593437,19292.0,fl8,wali
1.53631,1.305058,0.222814,3372.0,fb9,native
2.601891,0.011724,0.005862,24944.0,fl8,docker
0.69676,0.602175,0.091118,3420.0,fb4,native
17.834348,17.166295,0.647784,12148.0,fl7,qemu
1.481256,1.171315,0.302789,3132.0,fb8,docker-inner
14.499894,14.182644,0.300055,12108.0,fb8,qemu
1.075514,0.894834,0.174989,3028.0,fb6,docker-inner
1.971519,1.450465,0.503303,3416.0,fl8,native
2.113371,0.008558,0.008558,25256.0,fl6,docker
1.142638,1.024331,0.116037,19184.0,fb3,wali
0.257692,0.164914,0.09031,3072.0,fl1,docker-inner
1.316795,0.999766,0.305484,2992.0,fl5,docker-inner
1.506854,1.196178,0.297064,3420.0,fl6,native
0.716073,0.011591,0.005795,25324.0,fb1,docker
0.841126,0.012786,0.004262,25876.0,fb2,docker
5.139045,4.88394,0.235803,12232.0,fl2,qemu
1.509032,1.060288,0.435192,3004.0,fl6,docker-inner
1.795874,1.539587,0.246652,3040.0,fb10,docker-inner
1.094722,0.008385,0.008385,25656.0,fb3,docker
0.776036,0.535175,0.233891,3060.0,fl3,docker-inner
0.755414,0.677565,0.076176,19328.0,fb2,wali
1.750137,0.017847,0.0,25008.0,fb7,docker
2.622929,2.520199,0.072005,12200.0,fl1,qemu
5.506901,5.348563,0.124013,12240.0,fb3,qemu
0.493251,0.409206,0.079457,3380.0,fl2,native
1.245722,0.961596,0.273046,3452.0,fl5,native
0.513075,0.357597,0.150985,3208.0,fl2,docker-inner
0.179723,0.166545,0.011896,3452.0,fb1,native
3.290964,2.78354,0.493789,19228.0,fl6,wali
2.984495,2.639048,0.339363,19180.0,fb8,wali
1.025888,0.008355,0.008355,25884.0,fl2,docker
0.363384,0.305813,0.055602,3248.0,fb2,docker-inner
1.502521,1.343534,0.155945,19312.0,fb4,wali
0.765187,0.631323,0.127058,3480.0,fl3,native
1.418696,0.005678,0.011357,26036.0,fb5,docker
0.857404,0.70926,0.143446,3308.0,fb5,native
0.543267,0.449523,0.091495,19272.0,fl1,wali
20.379652,19.731011,0.623842,12032.0,fl8,qemu
1.725847,1.358038,0.352377,3452.0,fl7,native
0.512246,0.477524,0.031834,3308.0,fb3,native
12.757,12.239407,0.491976,12224.0,fl5,qemu
0.179028,0.150336,0.027693,3140.0,fb1,docker-inner
0.707885,0.600571,0.103409,3076.0,fb4,docker-inner
1.627808,1.35791,0.262821,19304.0,fl3,wali
1.857612,1.318864,0.522792,3036.0,fl7,docker-inner
2.677228,2.200358,0.465536,19292.0,fl5,wali
3.787994,3.21448,0.557654,19336.0,fl7,wali
1.918961,0.010315,0.006877,25448.0,fb8,docker
2.030575,1.465843,0.54672,3168.0,fl8,docker-inner
1.904721,1.827321,0.048087,12072.0,fb1,qemu
2.208151,1.844259,0.354512,19148.0,fl4,wali
0.894717,0.723026,0.166852,3164.0,fb5,docker-inner
1.072329,0.900235,0.1673,19256.0,fl2,wali
0.248622,0.182812,0.063587,3452.0,fl1,native
1.374838,1.196072,0.171437,3444.0,fb8,native
2.097924,0.013381,0.003345,25608.0,fb9,docker
2.336032,0.005621,0.011242,25500.0,fl7,docker
12.700974,12.439797,0.243996,12072.0,fb7,qemu
1.013726,0.738545,0.266035,3356.0,fl4,native
0.385454,0.348511,0.036052,19316.0,fb1,wali
10.249139,9.780908,0.43986,12236.0,fl4,qemu
9.117893,8.865753,0.236046,12152.0,fb5,qemu
1.881908,1.694349,0.18382,19240.0,fb5,wali
2.627386,2.382826,0.23948,19272.0,fb7,wali
1.326379,0.011432,0.005716,25548.0,fl3,docker
3.39701,3.018917,0.371374,19184.0,fb9,wali
7.674752,7.391626,0.267986,12164.0,fl3,qemu
3.71123,3.628084,0.048001,12216.0,fb2,qemu
15.320228,14.760239,0.528008,12172.0,fl6,qemu
1.203425,1.02214,0.174996,3340.0,fb7,native
3.771971,3.341748,0.423208,19320.0,fb10,wali
18.291043,17.974997,0.288048,12204.0,fb10,qemu
0.344547,0.307105,0.035435,3384.0,fb2,native
2.27132,2.034886,0.231873,19268.0,fb6,wali
1.034963,0.800206,0.2258,3176.0,fl4,docker-inner
1.602587,0.017572,0.0,25020.0,fb6,docker
10.939509,10.686863,0.240154,12168.0,fb6,qemu
