wall,utime,stime,maxrss,benchmark,mode
2.000847,2.000688,0.0,2448.0,sn900,native
0.104679,0.088448,0.016081,14676.0,bt11,wali
0.0439,0.043767,0.0,3332.0,bt11,native
1.809036,1.804754,0.003992,2540.0,nb9,docker-inner
2.364812,0.01031,0.006873,25588.0,nb9,docker
0.084417,0.080531,0.004026,13280.0,mt7,qemu
2.210043,2.205832,0.003996,2596.0,sn700,docker-inner
3.1261,3.126256,0.0,13252.0,nb2,qemu
0.054378,0.045902,0.008345,14668.0,bt10,wali
0.004193,0.004073,0.0,2416.0,mt7,native
1.797389,0.0,0.017175,25844.0,nb6,docker
0.50951,0.017699,0.0,25540.0,mt7,docker
0.00881,0.008758,0.0,2800.0,bt9,native
1.679807,0.01039,0.006927,25160.0,sn500,docker
0.558028,0.55776,0.0,8916.0,mt13,native
11.105685,11.104762,0.0,27564.0,mt14,qemu
0.364848,0.36474,0.0,2544.0,nb3,native
1.152864,1.148609,0.004002,14504.0,sn500,wali
0.213356,0.209253,0.003948,6240.0,bt13,native
1.583992,1.583804,0.0,2640.0,sn600,docker-inner
1.100659,1.092733,0.007976,13104.0,sn200,qemu
0.539823,0.539667,0.0,10400.0,bt14,native
0.130803,0.130635,0.0,4428.0,mt11,docker-inner
14.218154,14.218331,0.0,13320.0,nb9,qemu
4.260212,4.256201,0.004,21108.0,bt14,qemu
0.555525,0.009018,0.009018,25864.0,mt10,docker
9.062024,9.061083,0.0,13228.0,sn600,qemu
0.731229,0.727064,0.003994,14672.0,nb3,wali
1.021562,1.017261,0.003989,2560.0,nb5,docker-inner
5.795696,5.387467,0.407959,52608.0,bt16,wali
1.208094,1.203976,0.003999,2512.0,sn700,native
1.619373,1.619425,0.0,13100.0,nb1,qemu
1.382485,1.374334,0.00799,16784.0,mt14,native
0.242552,0.242431,0.0,2556.0,sn300,native
2.665349,2.661247,0.004001,14476.0,nb10,wali
4.12752,0.008683,0.008683,25260.0,bt16,docker
0.126624,0.116114,0.00387,13484.0,bt9,qemu
1.205146,0.01139,0.005695,25464.0,bt14,docker
1.216697,1.216547,0.0,2424.0,nb10,native
0.236419,0.228645,0.007884,13648.0,bt10,qemu
4.653907,4.653981,0.0,13224.0,nb3,qemu
2.132126,0.011051,0.006631,25900.0,nb8,docker
0.014574,0.007228,0.007228,14508.0,mt7,wali
0.39611,0.395981,0.0,2440.0,sn400,native
1.445032,1.444859,0.0,2536.0,nb7,docker-inner
1.577745,1.577577,0.0,2408.0,sn800,native
0.126683,0.118626,0.007908,14548.0,mt10,wali
1.504154,0.012568,0.005027,25292.0,nb5,docker
1.41118,1.394862,0.015986,17748.0,bt15,docker-inner
2.917514,2.853214,0.064027,23848.0,mt14,wali
0.004904,0.004869,0.0,2680.0,mt7,docker-inner
0.868175,0.868014,0.0,2536.0,nb7,native
2.010243,2.009989,0.0,2604.0,nb10,docker-inner
0.523127,0.514993,0.007984,14664.0,nb2,wali
2.019621,2.015444,0.003998,14512.0,nb8,wali
0.270257,0.266142,0.003972,5456.0,mt12,native
0.111684,0.111534,0.0,4604.0,bt12,native
20.052419,20.048086,0.004,47120.0,bt16,qemu
4.396229,4.395786,0.0,2596.0,sn1000,docker-inner
1.786977,1.771024,0.015991,16744.0,bt13,qemu
0.01325,0.013201,0.0,2856.0,mt8,docker-inner
