wall,utime,stime,maxrss,benchmark,mode
1.414842,0.016757,0.0,25868.0,750,docker
0.728467,0.005699,0.011398,25580.0,250,docker
0.182477,0.143449,0.031877,5492.0,150,docker-inner
0.291455,0.251426,0.039908,5708.0,300,native
0.877725,0.758185,0.112323,5532.0,900,native
1.814796,1.68666,0.127898,22720.0,800,wali
0.23769,0.191498,0.039895,5572.0,200,docker-inner
0.45981,0.41572,0.04397,22632.0,200,wali
0.895086,0.810792,0.083875,5864.0,950,native
1.154564,0.973831,0.171617,5708.0,1000,docker-inner
0.760458,0.640731,0.108123,5676.0,650,docker-inner
0.473614,0.425079,0.048122,5496.0,500,native
1.124102,0.012824,0.004274,25384.0,550,docker
0.125402,0.117177,0.008081,22648.0,50,wali
7.500268,7.39232,0.108004,16476.0,800,qemu
0.234878,0.214505,0.020236,22684.0,100,wali
1.320018,0.004209,0.012629,25156.0,700,docker
1.007007,1.003077,0.003996,16476.0,100,qemu
2.014461,1.907346,0.099965,22688.0,900,wali
1.294816,0.012977,0.004325,25980.0,650,docker
8.188958,8.140951,0.048005,16544.0,850,qemu
2.201424,2.069183,0.132075,22548.0,1000,wali
0.049115,0.040832,0.008166,5696.0,50,native
1.000424,0.932265,0.068019,22644.0,450,wali
0.798995,0.718573,0.080287,5720.0,850,native
0.70933,0.653084,0.056093,5496.0,750,native
1.107251,0.962459,0.135782,5712.0,950,docker-inner
0.565239,0.50497,0.060115,5672.0,600,native
1.870781,1.77856,0.091925,22604.0,850,wali
0.676925,0.636734,0.040046,22732.0,300,wali
0.779775,0.727706,0.051979,22676.0,350,wali
0.581085,0.496991,0.075542,5520.0,500,docker-inner
1.100254,0.012895,0.004298,25168.0,450,docker
8.893907,8.809702,0.084016,16564.0,950,qemu
4.368139,4.340143,0.028,16528.0,450,qemu
0.469783,0.408072,0.052009,5724.0,400,docker-inner
0.379149,0.343104,0.035906,5500.0,400,native
1.128061,0.016926,0.0,25744.0,500,docker
0.414296,0.347504,0.059233,5844.0,350,docker-inner
1.657214,0.017033,0.0,25552.0,950,docker
0.125341,0.112089,0.00773,5544.0,100,docker-inner
8.427812,8.347829,0.079998,16492.0,900,qemu
1.40897,0.008737,0.008737,25696.0,800,docker
6.750749,6.686789,0.063988,16532.0,700,qemu
0.567008,0.53891,0.027943,22628.0,250,wali
0.903109,0.851036,0.051941,22680.0,400,wali
1.193503,0.008841,0.008841,26100.0,600,docker
2.93397,2.890136,0.043971,16468.0,300,qemu
1.687192,0.006953,0.010429,25676.0,1000,docker
0.19034,0.174013,0.016187,5612.0,200,native
0.634368,0.011068,0.005534,25036.0,150,docker
0.66921,0.576694,0.09211,5700.0,700,native
0.555753,0.010003,0.007502,25208.0,50,docker
0.517966,0.462036,0.055763,5600.0,550,native
0.814638,0.683851,0.119973,5692.0,700,docker-inner
1.043491,0.909177,0.123076,5712.0,900,docker-inner
5.782531,5.730436,0.051985,16524.0,600,qemu
0.097456,0.097345,0.0,5572.0,100,native
2.398782,2.386769,0.011993,16524.0,250,qemu
1.564716,1.504505,0.06002,22644.0,700,wali
2.09243,1.936286,0.156023,22572.0,950,wali
0.951251,0.87082,0.080259,5632.0,1000,native
0.982894,0.825078,0.147477,5444.0,850,docker-inner
5.176788,5.100835,0.076012,16472.0,550,qemu
0.237133,0.200909,0.036163,5524.0,250,native
0.763253,0.671228,0.091894,5560.0,800,native
3.883389,3.843478,0.039994,16492.0,400,qemu
1.653486,1.569238,0.083852,22492.0,750,wali
0.595584,0.015697,0.001744,25676.0,100,docker
0.144166,0.132033,0.012003,5520.0,150,native
0.644806,0.530058,0.10362,5596.0,550,docker-inner
0.982558,0.016969,0.0,25520.0,400,docker
0.426352,0.381994,0.04423,5588.0,450,native
0.298965,0.228314,0.064088,5696.0,250,docker-inner
0.345881,0.321625,0.024121,22664.0,150,wali
1.479589,1.459702,0.019995,16484.0,150,qemu
0.611332,0.563275,0.047938,5512.0,650,native
7.213998,7.14113,0.071971,16492.0,750,qemu
1.928415,1.912505,0.016004,16508.0,200,qemu
4.774142,4.702236,0.071973,16448.0,500,qemu
9.585513,9.493255,0.091973,16508.0,1000,qemu
0.831942,0.012866,0.005146,25716.0,300,docker
1.429539,1.32959,0.099819,22700.0,650,wali
3.333891,3.305902,0.028016,16372.0,350,qemu
0.356797,0.307251,0.039902,5720.0,300,docker-inner
1.264753,1.208554,0.056025,22668.0,550,wali
0.70706,0.591552,0.103223,5852.0,600,docker-inner
1.544705,0.017171,0.0,25716.0,850,docker
0.531665,0.427095,0.095797,5672.0,450,docker-inner
0.565883,0.558022,0.007971,16444.0,50,qemu
1.117137,1.061017,0.055843,22592.0,500,wali
1.558501,0.017133,0.0,24944.0,900,docker
0.884106,0.751729,0.119956,5576.0,750,docker-inner
0.063466,0.051806,0.00797,5696.0,50,docker-inner
0.33,0.309753,0.020113,5632.0,350,native
6.172095,6.100027,0.072,16368.0,650,qemu
0.92336,0.773097,0.144204,5584.0,800,docker-inner
0.775771,0.012858,0.004286,26052.0,200,docker
1.328681,1.232516,0.09604,22576.0,600,wali
0.923128,0.005558,0.011117,25048.0,350,docker
